Composite Element REF	Beta_value	Chromosome	Start	End	Gene_Symbol	Gene_Type	Transcript_ID	Position_to_TSS	CGI_Coordinate	Feature_Type
cg00000029	0.358175439	chr16	53434200	53434201	RBL2;RBL2;RBL2	protein_coding;protein_coding;protein_coding	ENST00000262133.9;ENST00000544405.5;ENST00000567964.5	-221;-1420;222	CGI:chr16:53434489-53435297	N_Shore
cg00000108	NA	chr3	37417715	37417716	C3orf35;C3orf35;C3orf35;C3orf35;C3orf35;C3orf35;C3orf35;C3orf35	lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA;lincRNA	ENST00000328376.8;ENST00000332506.6;ENST00000425564.2;ENST00000425932.4;ENST00000426078.4;ENST00000452017.3;ENST00000466204.4;ENST00000481400.4	18552;18552;6505;31445;18143;447;18552;18552	CGI:chr3:37451927-37453047	.
cg00000109	NA	chr3	172198247	172198248	FNDC3B;FNDC3B;FNDC3B;FNDC3B;FNDC3B;FNDC3B	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000336824.7;ENST00000415807.5;ENST00000416957.4;ENST00000443501.1;ENST00000469491.4;ENST00000478016.1	157692;158618;151333;71272;158587;71273	CGI:chr3:172039703-172040934	.
cg00000165	0.385790966	chr1	90729117	90729118	.	.	.	.	CGI:chr1:90724932-90727247	S_Shore
cg00000236	0.864110401	chr8	42405776	42405777	VDAC3	protein_coding	ENST00000022615.7	13872	CGI:chr8:42410918-42411241	.
cg00000289	0.519047581	chr14	68874422	68874423	ACTN1;ACTN1;ACTN1;ACTN1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000193403.9;ENST00000394419.7;ENST00000553882.1;ENST00000556083.1	105019;104818;4601;13842	CGI:chr14:68874710-68875103	N_Shore
cg00000292	0.644535204	chr16	28878779	28878780	ATP2A1;ATP2A1;ATP2A1;ATP2A1;ATP2A1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000357084.6;ENST00000395503.7;ENST00000536376.4;ENST00000562185.4;ENST00000563975.1	373;290;-1275;-465;-83	CGI:chr16:28879633-28880547	N_Shore
cg00000321	0.437500011	chr8	41310283	41310284	SFRP1	protein_coding	ENST00000220772.6	-785	CGI:chr8:41308333-41309621	S_Shore
cg00000363	0.135438887	chr1	230425047	230425048	PGBD5	protein_coding	ENST00000391860.4	683	CGI:chr1:230425357-230426956	N_Shore
cg00000622	0.011039118	chr15	22838620	22838621	NIPA2;NIPA2;NIPA2;NIPA2;NIPA2;NIPA2;NIPA2;NIPA2;NIPA2;NIPA2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000337451.6;ENST00000359727.7;ENST00000398013.6;ENST00000398014.5;ENST00000539711.2;ENST00000559571.1;ENST00000560039.1;ENST00000560205.4;ENST00000560762.4;ENST00000561072.1	-41;-39;-68;-22;-79;-57;-71;-25;-41;-70	CGI:chr15:22838564-22839134	Island
cg00000658	0.895363337	chr9	137103472	137103473	MAN1B1;MAN1B1;MAN1B1;MAN1B1;MAN1B1;MAN1B1;MAN1B1;MAN1B1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000371589.7;ENST00000474902.4;ENST00000480100.3;ENST00000535028.4;ENST00000535144.4;ENST00000536349.4;ENST00000540391.4;ENST00000544448.4	16544;14290;-955;-179;16391;958;123;16486	CGI:chr9:137103394-137103596	Island
cg00000714	0.110245255	chr19	54191827	54191828	TSEN34;TSEN34;TSEN34;TSEN34;TSEN34;TSEN34;TSEN34	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000302937.7;ENST00000396383.4;ENST00000396388.2;ENST00000429671.5;ENST00000455798.4;ENST00000456872.4;ENST00000496583.1	1558;1095;573;1558;1888;1558;1483	CGI:chr19:54189178-54191646	S_Shore
cg00000721	0.935667085	chr6	25282551	25282552	LRRC16A;LRRC16A	protein_coding;protein_coding	ENST00000329474.6;ENST00000461945.1	3122;3472	CGI:chr6:25278903-25279662	S_Shelf
cg00000734	0.046195527	chr3	129183534	129183535	CNBP;CNBP;CNBP;CNBP;CNBP;CNBP;CNBP;CNBP;CNBP;CNBP	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000422453.5;ENST00000441626.5;ENST00000446936.5;ENST00000451728.5;ENST00000500450.5;ENST00000502372.1;ENST00000502976.4;ENST00000504813.4;ENST00000507573.1;ENST00000512338.1	389;377;366;366;377;331;372;389;363;389	CGI:chr3:129183291-129184135	Island
cg00000769	0.015877733	chr12	123601930	123601931	DDX55;DDX55;DDX55;DDX55;DDX55;DDX55;DDX55;DDX55;DDX55	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000238146.7;ENST00000354291.7;ENST00000536079.4;ENST00000538744.4;ENST00000540763.4;ENST00000542286.4;ENST00000544429.4;ENST00000544738.4;ENST00000545042.1	-170;-201;-214;-199;-199;-148;-168;-196;-170	CGI:chr12:123601670-123602468	Island
cg00000807	NA	chr2	23690544	23690545	KLHL29;KLHL29;KLHL29	protein_coding;protein_coding;protein_coding	ENST00000288548.5;ENST00000471654.1;ENST00000486442.4	48151;1758;305326	CGI:chr2:23690438-23690699	Island
cg00000884	NA	chr4	153688705	153688706	.	.	.	.	CGI:chr4:153683934-153684900	S_Shelf
cg00000905	0.061549511	chr15	59493107	59493108	FAM81A	protein_coding	ENST00000288228.8	54933	CGI:chr15:59437871-59438539	.
cg00000924	0.399824846	chr11	2699233	2699234	KCNQ1;KCNQ1;KCNQ1OT1	protein_coding;protein_coding;antisense	ENST00000155840.8;ENST00000335475.5;ENST00000597346.1	254241;237796;762	CGI:chr11:2699180-2700857	Island
cg00000948	0.920200753	chr8	48978050	48978051	.	.	.	.	CGI:chr8:48977827-48978315	Island
